feature,mean_delta,std_delta,n_folds
D_est,0.000809544852520742,0.001000728150511996,3
P_est,0.0007045577525232226,0.0009902404486352616,3
area_delta_mean,0.0004508445870260993,0.0009245782499995162,3
early_speed_mean,0.00041434801553184093,0.0010488581540467484,3
r_peak__log1p,0.0,0.0,3
n_stationary__log1p,0.0,0.0,3
n_stationary,0.0,0.0,3
r_peak,0.0,0.0,3
temporal_persistence,-6.768851004341861e-05,0.0007534598645789516,3
early_area_mean__log1p,-0.0005346537007145368,0.0006490215614037798,3
late_area_mean,-0.0006705867955216464,0.0022195660867392404,3
K,-0.0008000924310758118,0.004291789350331809,3
area_trend_slope,-0.0011005670394810014,0.0011953994792064993,3
orientation_delta_mean,-0.0012137770685317305,0.001893285808512681,3
K_x__log1p,-0.0014306701628300073,0.0019604031530105356,3
K_y__log1p,-0.0014306701628300073,0.0019604031530105356,3
K__log1p,-0.0014306701628300073,0.0019604031530105356,3
total_path_length,-0.001548645506396714,0.0010082931745964074,3
orientation_slope,-0.001804074360223999,0.002123111934384355,3
late_area_mean__log1p,-0.0019948870778534198,0.0025074147559043893,3
eccentricity_slope,-0.0021359768079027763,0.001857577222650897,3
P_est__log1p,-0.002228228559804563,0.0016972691982405812,3
P_est_y__log1p,-0.002228228559804563,0.0016972691982405812,3
P_est_x__log1p,-0.002228228559804563,0.0016972691982405812,3
eccentricity_delta_mean,-0.0023301088067191043,0.004614247155069863,3
perimeter_delta_max__log1p,-0.002544618281806267,0.004310000328154268,3
early_area_mean,-0.002880298201763763,0.0028866040422310417,3
perimeter_delta_mean,-0.0029237317469425228,0.004103364425628009,3
eccentricity_trend_slope,-0.00358185432109123,0.002368240913672835,3
orientation_mean,-0.003948418504824804,0.010962835837351855,3
solidity_mean,-0.004521684829658254,0.006714130364443835,3
eccentricity_delta_max,-0.0046164735203896145,0.006729418142178687,3
speed_acceleration,-0.00507512156147052,0.0025365470551245955,3
area_delta_max,-0.005109029905663467,0.008486677745314601,3
alpha,-0.005193189203744223,0.004579902981135776,3
solidity_delta_mean,-0.005351101708854844,0.00529866009612482,3
net_displacement,-0.005542722975331212,0.007433192866634468,3
late_speed_mean__log1p,-0.0057181385393567105,0.0036708433077292037,3
total_path_length__log1p,-0.006966685770523995,0.011094063722765717,3
area_slope,-0.007171274169750636,0.012183382980936953,3
early_eccentricity_mean,-0.007262506751241258,0.0035082107284283596,3
D_est__log1p,-0.007431503729944133,0.003599435563304886,3
D_est_y__log1p,-0.007431503729944133,0.003599435563304886,3
D_est_x__log1p,-0.007431503729944133,0.003599435563304886,3
mean_speed__log1p,-0.007491799230736081,0.0156335525110869,3
speed_trend_slope,-0.007623114612603007,0.003287544710790366,3
num_frames,-0.00785594261274543,0.007639903863974141,3
max_speed,-0.008025066426732522,0.01820699179226202,3
perimeter_mean,-0.00815684367407976,0.006812068472941814,3
area_delta_max__log1p,-0.00816304191394749,0.00848892880283673,3
speed_cv,-0.00848354921339374,0.014362520751235895,3
solidity_mean__log1p,-0.008499972158354978,0.006525783465677871,3
perimeter_slope,-0.009344723905837142,0.010462372707936818,3
eccentricity_delta_max__log1p,-0.009835817619284667,0.01308970099151174,3
late_eccentricity_mean__log1p,-0.010046693266245266,0.013644806299881273,3
solidity_slope,-0.01035590081233227,0.008240296581931738,3
num_frames__log1p,-0.011689911471713424,0.012375008163797578,3
mean_speed,-0.014055573339175753,0.009284134959583693,3
area_mean,-0.01419312773079476,0.01897834581234264,3
early_eccentricity_mean__log1p,-0.015498002632578613,0.009710402237486105,3
early_speed_mean__log1p,-0.01565369049873844,0.006526414558030303,3
perimeter_delta_max,-0.016782892783612603,0.011530937078438415,3
late_speed_mean,-0.017574907414210503,0.015420171137730638,3
perimeter_mean__log1p,-0.018218451934248692,0.009052070203318758,3
persistence_fraction,-0.0195007060049517,0.009695181932114126,3
directionality_ratio,-0.0195007060049517,0.009695181932114126,3
solidity_delta_max__log1p,-0.022838448659013137,0.018495328589547746,3
area_volatility__log1p,-0.02287319299101263,0.01177425458771684,3
directional_consistency__log1p,-0.023983463491348767,0.021711475716623463,3
speed_cv__log1p,-0.024568261684189963,0.013633311879290917,3
late_eccentricity_mean,-0.026520308049026265,0.024140328550101304,3
directional_consistency,-0.030066067740098252,0.017520005308417994,3
directionality_ratio__log1p,-0.030091355075009613,0.014332916678065391,3
persistence_fraction__log1p,-0.030091355075009613,0.014332916678065391,3
orientation_delta_max__log1p,-0.030754541453758513,0.012335742458956897,3
area_mean__log1p,-0.03305026719703962,0.01577930869460632,3
max_speed__log1p,-0.03588845107267579,0.03243703197882077,3
solidity_delta_max,-0.040422290844091054,0.04836980735203583,3
orientation_delta_max,-0.04424273460459618,0.01127011714082046,3
eccentricity_mean__log1p,-0.049658305463605855,0.028658568667140904,3
area_volatility,-0.0506982863465136,0.028432496587200668,3
net_displacement__log1p,-0.053379889684518296,0.06261452803511304,3
eccentricity_mean,-0.05364255886818148,0.03583640555490937,3
corr_length__log1p,-0.05906586858682495,0.15577429785350402,3
g_peak__log1p,-0.07429591181023064,0.13554940307090318,3
corr_length,-0.11456611772539926,0.3684258132219927,3
g_peak,-0.17286336758017587,0.2678975583764903,3
